,DHd_2016.zip,DHd_2017.zip,DHd_2018.zip,DHd_2019.zip,DHd_2020.zip,DHd_2022.zip,DHd_2023.zip
Methodik,0.006,0.0,0.0,0.006,0.0,0.006,0.0
Faksimile,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Codierung,0.006,0.0,0.006,0.0,0.006,0.0,0.0
Befund und Deutung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
digitale 3D-Rekonstruktion,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Grundlagen,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Datenmodellierung,0.013,0.019,0.025,0.006,0.013,0.013,0.025
Dokumentation,0.013,0.006,0.006,0.006,0.006,0.0,0.006
Visualisierung,0.119,0.019,0.031,0.037,0.019,0.056,0.025
Vernetzung,0.025,0.0,0.006,0.013,0.006,0.006,0.013
Übergreifend,0.006,0.0,0.0,0.0,0.0,0.0,0.0
regional,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kommunikation,0.006,0.0,0.0,0.006,0.0,0.0,0.0
Diskussion,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Datenzentren,0.006,0.006,0.013,0.0,0.0,0.0,0.0
Nachhaltigkeit,0.013,0.044,0.013,0.0,0.006,0.013,0.013
Forschungsdaten,0.031,0.013,0.019,0.025,0.019,0.019,0.019
Datenkuratierung,0.006,0.006,0.0,0.0,0.0,0.006,0.006
Use Case,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Infrastruktur,0.019,0.019,0.019,0.013,0.006,0.013,0.019
CLARIN-D,0.013,0.0,0.0,0.0,0.0,0.0,0.0
Aufbewahren,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Digitale Editionen,0.006,0.0,0.006,0.013,0.006,0.006,0.0
Modellierung,0.037,0.013,0.013,0.006,0.013,0.037,0.019
korpusbasierte Untersuchungen historischer Sprachstufen,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Tokenisierung,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Lemmatisierung,0.006,0.0,0.0,0.006,0.006,0.0,0.0
Annotation,0.05,0.05,0.075,0.037,0.031,0.037,0.019
verschiedene frühneuhochdeutsche Textkorpora,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Benutzerintegration,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Crowdsourcing,0.019,0.006,0.0,0.006,0.0,0.006,0.006
Edition,0.013,0.013,0.019,0.013,0.019,0.013,0.025
Georeferecing,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Retrieval,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Lehrbuch,0.006,0.0,0.0,0.0,0.0,0.0,0.0
Kollaboration,0.031,0.006,0.013,0.0,0.006,0.0,0.013
Open Access,0.013,0.006,0.006,0.0,0.006,0.0,0.031
