,DHd 2014,DHd 2015,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean,trend,h,p,z,Tau,s,var_s,slope,intercept
General Research Process and Challenges,2.1,4.53,3.39,3.33,4.86,3.46,4.26,4.69,7.22,4.2,increasing,True,0.05,1.98,0.56,20.0,92.0,0.36,2.8
Research Objects in DH,1.54,5.14,1.69,0.0,1.25,0.0,2.85,1.34,0.89,1.63,no trend,False,0.35,-0.94,-0.28,-10.0,92.0,-0.09,1.69
Machine Translation,0.67,1.53,2.59,3.03,2.99,3.8,1.76,2.39,3.11,2.43,no trend,False,0.12,1.56,0.44,16.0,92.0,0.24,1.65
Automatic Text Annotation,3.87,3.54,3.46,2.99,3.14,1.59,1.46,5.26,2.69,3.11,no trend,False,0.12,-1.56,-0.44,-16.0,92.0,-0.15,3.75
Text Genres,6.18,2.21,6.09,4.33,1.55,2.04,3.7,3.59,1.89,3.51,no trend,False,0.12,-1.56,-0.44,-16.0,92.0,-0.29,4.76
Multimodality and Multimedia,5.98,2.73,1.91,0.0,3.88,2.92,1.5,0.65,3.03,2.51,no trend,False,0.47,-0.73,-0.22,-8.0,92.0,-0.3,3.92
Structure and Schedule of Projects,3.43,2.58,4.26,4.49,1.52,5.65,6.08,2.08,4.68,3.86,no trend,False,0.35,0.94,0.28,10.0,92.0,0.26,3.2
Geography,1.93,1.7,1.15,0.21,4.29,0.94,4.54,4.22,2.58,2.4,no trend,False,0.6,0.52,0.17,6.0,92.0,0.18,1.2
Literary Studies,1.98,3.63,2.22,2.29,1.87,4.98,3.67,2.45,1.15,2.69,no trend,False,1.0,0.0,0.0,0.0,92.0,-0.01,2.32
Linguistics and Discourse Analysis,2.12,5.72,4.25,2.18,1.4,4.91,2.19,1.89,2.16,2.98,no trend,False,0.47,-0.73,-0.22,-8.0,92.0,-0.13,2.68
Interdisciplinarity and Science,6.37,0.16,3.6,1.15,3.2,3.78,3.4,4.66,5.31,3.51,no trend,False,0.25,1.15,0.33,12.0,92.0,0.49,1.63
Data Models and Data Management,4.0,5.23,2.57,2.34,0.79,0.81,2.89,1.91,2.05,2.51,no trend,False,0.18,-1.36,-0.39,-14.0,92.0,-0.27,3.42
Mass Digitization Projects,4.07,0.77,2.86,1.46,4.15,1.64,0.0,3.66,1.12,2.19,no trend,False,0.6,-0.52,-0.17,-6.0,92.0,-0.16,2.27
Compilation of Corpora and Data Sustainability,2.0,1.9,3.67,4.06,5.05,4.36,2.47,0.65,2.11,2.92,no trend,False,1.0,0.0,0.0,0.0,92.0,-0.05,2.65
Data Bases and Research Infrastructures,7.31,2.46,6.2,11.68,4.6,5.88,5.65,6.41,2.92,5.9,no trend,False,0.6,-0.52,-0.17,-6.0,92.0,-0.18,6.61
XML,0.01,4.64,2.1,4.4,2.94,2.9,4.45,5.1,4.83,3.49,no trend,False,0.08,1.77,0.5,18.0,92.0,0.46,2.55
