,DHd 2016,DHd 2017,DHd 2018,DHd 2019,DHd 2020,DHd 2022,DHd 2023,Mean
Annotation,5.0,8.7,7.5,4.38,3.65,3.9,2.27,5.06
Visualisierung,11.88,3.26,3.12,4.38,2.19,5.84,3.03,4.81
Digitale Edition,1.25,5.43,2.5,3.65,2.92,3.25,3.79,3.26
TEI,2.5,3.26,5.0,1.46,2.92,1.95,1.52,2.66
Linked Open Data,0.0,3.26,1.25,2.92,2.19,3.9,4.55,2.58
Forschungsdaten,3.12,2.17,1.88,2.92,2.19,1.95,2.27,2.36
Digitalisierung,2.5,2.17,3.12,1.46,1.46,3.9,1.52,2.3
Modellierung,3.75,2.17,1.25,0.73,1.46,3.9,2.27,2.22
Metadaten,1.25,2.17,1.25,2.19,2.19,3.9,1.52,2.07
Nachhaltigkeit,1.25,7.61,1.25,0.0,0.73,1.3,1.52,1.95
Datenmodellierung,1.25,3.26,2.5,0.73,1.46,1.3,3.03,1.93
Edition,1.25,2.17,1.88,1.46,2.19,1.3,3.03,1.9
Semantic Web,5.0,1.09,1.88,0.73,0.73,0.65,3.03,1.87
Infrastruktur,1.88,3.26,1.88,1.46,0.73,1.3,2.27,1.83
Forschungsdatenmanagement,1.25,0.0,1.25,3.65,2.19,3.25,0.76,1.76
Ontologie,1.88,1.09,3.75,0.0,1.46,0.65,2.27,1.59
Topic Modeling,0.62,0.0,1.88,1.46,3.65,1.95,1.52,1.58
Netzwerkanalyse,1.25,1.09,1.25,1.46,2.19,1.3,1.52,1.44
Nachnutzung,1.25,2.17,1.25,0.0,0.73,1.3,3.03,1.39
Literatur,2.5,2.17,1.25,1.46,0.73,0.65,0.76,1.36
Korpus,1.25,2.17,1.25,1.46,0.73,1.3,0.76,1.27
Stilometrie,2.5,0.0,1.88,2.19,2.19,0.0,0.0,1.25
Korpuslinguistik,3.12,0.0,1.25,1.46,0.73,1.3,0.76,1.23
Kunstgeschichte,0.62,1.09,0.0,2.19,0.73,3.25,0.76,1.23
Deep Learning,0.0,0.0,2.5,2.92,2.19,0.65,0.0,1.18
Normdaten,0.0,1.09,0.0,1.46,1.46,1.95,2.27,1.18
NLP,1.88,0.0,0.62,1.46,2.19,1.3,0.76,1.17
Langzeitarchivierung,3.12,1.09,1.25,0.73,0.0,1.95,0.0,1.16
Textanalyse,1.88,0.0,1.25,0.0,1.46,1.95,1.52,1.15
CIDOC CRM,1.25,1.09,1.88,0.0,1.46,0.0,2.27,1.14
Digital Humanities,0.0,0.0,1.25,3.65,1.46,0.65,0.76,1.11
Kollaboration,3.12,1.09,1.25,0.0,0.73,0.0,1.52,1.1
OCR,0.62,0.0,0.62,2.19,0.73,2.6,0.76,1.07
Open Access,1.25,1.09,0.62,0.0,0.73,0.0,3.79,1.07
Vernetzung,2.5,0.0,0.62,1.46,0.73,0.65,1.52,1.07
Evaluation,0.0,3.26,0.62,1.46,1.46,0.65,0.0,1.06
Drama,0.62,1.09,1.25,0.0,0.73,1.95,1.52,1.02
Machine Learning,0.62,0.0,1.25,2.92,0.73,0.65,0.76,0.99
digitale Edition,0.62,2.17,0.62,0.0,0.73,1.95,0.76,0.98
XML,2.5,0.0,1.25,1.46,1.46,0.0,0.0,0.95
WissKI,0.62,1.09,1.88,0.0,0.73,0.0,2.27,0.94
Computerlinguistik,0.62,2.17,2.5,0.0,0.0,1.3,0.0,0.94
Literaturwissenschaft,1.25,1.09,1.25,0.73,0.0,0.65,1.52,0.93
Hermeneutik,0.0,2.17,1.88,0.73,0.73,0.0,0.76,0.9
Maschinelles Lernen,0.0,0.0,1.25,0.73,2.19,1.95,0.0,0.87
Datenbank,0.0,1.09,1.25,0.73,0.73,0.65,1.52,0.85
Datenvisualisierung,0.62,1.09,0.0,0.73,1.46,1.95,0.0,0.84
Standardisierung,0.62,1.09,1.88,1.46,0.0,0.65,0.0,0.81
Forschungsinfrastruktur,1.88,1.09,0.62,0.73,0.73,0.65,0.0,0.81
RDF,1.25,2.17,0.0,2.19,0.0,0.0,0.0,0.8
API,0.0,0.0,0.62,0.73,0.73,2.6,0.76,0.78
Standards,0.62,0.0,0.62,0.73,1.46,1.3,0.76,0.78
Wissenschaftskommunikation,0.0,1.09,0.0,2.19,0.73,0.65,0.76,0.77
Citizen Science,0.62,1.09,0.0,0.0,0.73,0.65,2.27,0.77
Vermittlung,0.0,3.26,0.0,0.0,0.73,0.65,0.76,0.77
Interpretation,0.0,1.09,1.25,0.0,2.92,0.0,0.0,0.75
Dokumentation,1.25,1.09,0.62,0.73,0.73,0.0,0.76,0.74
Crowdsourcing,1.88,1.09,0.0,0.73,0.0,0.65,0.76,0.73
Operationalisierung,0.62,0.0,0.0,0.0,2.19,0.65,1.52,0.71
Text,0.62,0.0,0.0,0.73,0.0,1.3,2.27,0.7
Computational Literary Studies,0.0,0.0,0.0,0.0,0.0,2.6,2.27,0.7
Korpora,1.88,0.0,0.0,2.19,0.0,0.0,0.76,0.69
Community,0.0,0.0,0.0,0.0,0.73,2.6,1.52,0.69
Distant Reading,0.62,0.0,0.62,0.0,1.46,1.3,0.76,0.68
DARIAH-DE,1.88,2.17,0.62,0.0,0.0,0.0,0.0,0.67
Literaturgeschichte,1.25,0.0,0.62,0.0,0.0,1.3,1.52,0.67
Informationsvisualisierung,0.62,2.17,1.88,0.0,0.0,0.0,0.0,0.67
Klassifikation,0.62,1.09,0.62,1.46,0.73,0.0,0.0,0.65
Natural Language Processing,1.25,1.09,0.0,0.0,0.0,0.65,1.52,0.64
Software,0.62,0.0,0.0,0.73,1.46,0.0,1.52,0.62
Erschließung,0.62,1.09,0.62,0.0,0.73,1.3,0.0,0.62
Linked Data,0.62,1.09,0.62,0.73,0.0,1.3,0.0,0.62
Methodologie,1.25,1.09,1.25,0.0,0.73,0.0,0.0,0.62
Prosopographie,0.0,0.0,0.62,1.46,1.46,0.0,0.76,0.61
Wikidata,0.0,0.0,0.62,0.0,0.0,0.65,3.03,0.61
Briefe,0.62,0.0,0.0,2.19,0.0,0.65,0.76,0.6
visualization,0.62,0.0,0.62,0.73,1.46,0.0,0.76,0.6
Kulturdaten,0.0,0.0,0.0,0.73,0.73,1.95,0.76,0.6
Python,0.0,0.0,1.25,0.0,0.73,0.65,1.52,0.59
Computer Vision,0.62,0.0,0.62,0.0,0.73,0.65,1.52,0.59
Digitale Editionen,0.62,0.0,0.62,1.46,0.73,0.65,0.0,0.58
Forschung,0.0,2.17,1.88,0.0,0.0,0.0,0.0,0.58
Open Source,0.0,1.09,0.0,0.0,1.46,0.65,0.76,0.57
Transkription,0.0,1.09,0.0,0.0,0.0,1.3,1.52,0.56
Zeitschriften,0.0,1.09,0.0,1.46,0.73,0.65,0.0,0.56
Infrastrukturen,0.62,1.09,0.0,1.46,0.73,0.0,0.0,0.56
